open_time,close_time,O,H,L,C,V_Q,V_C
2017-12-19 08:30:00,2017-12-19 08:44:59.999000,18630.02,18768.81,18600.0,18635.36,1365146.71379052,73.112283
2017-12-19 08:45:00,2017-12-19 08:59:59.999000,18635.36,18749.59,18635.36,18720.0,1434778.3807893,76.834309
2017-12-19 09:00:00,2017-12-19 09:14:59.999000,18720.0,18800.0,18667.68,18751.11,1785162.71874485,95.254014
2017-12-19 09:15:00,2017-12-19 09:29:59.999000,18768.0,18774.99,18677.86,18733.9,2052956.95544678,109.45943
2017-12-19 09:30:00,2017-12-19 09:44:59.999000,18760.81,18775.0,18667.68,18704.09,1764734.94060169,94.32459
2017-12-19 09:45:00,2017-12-19 09:59:59.999000,18700.02,18704.09,18500.0,18545.77,1792572.89334997,96.263444
2017-12-19 10:00:00,2017-12-19 10:14:59.999000,18545.75,18604.34,18500.0,18564.05,2205273.56216163,118.793168
2017-12-19 10:15:00,2017-12-19 10:29:59.999000,18564.05,18629.79,18501.0,18590.06,1940697.31890037,104.483054
2017-12-19 10:30:00,2017-12-19 10:44:59.999000,18618.99,18700.0,18618.99,18688.92,1206467.29078847,64.685621
2017-12-19 10:45:00,2017-12-19 10:59:59.999000,18688.92,18694.11,18600.0,18630.0,2006449.73955818,107.584497
2017-12-19 11:00:00,2017-12-19 11:14:59.999000,18635.0,18650.0,18545.38,18566.88,1689185.46748621,90.912361
2017-12-19 11:15:00,2017-12-19 11:29:59.999000,18584.64,18625.51,18500.0,18507.08,1647079.05357368,88.84015
2017-12-19 11:30:00,2017-12-19 11:44:59.999000,18507.08,18698.6,18500.0,18630.0,2019713.47185075,108.570771
2017-12-19 11:45:00,2017-12-19 11:59:59.999000,18659.98,18799.88,18633.0,18729.17,1974951.02265984,105.551286
2017-12-19 12:00:00,2017-12-19 12:14:59.999000,18729.17,18850.0,18701.89,18715.39,1636054.85277031,87.294204
2017-12-19 12:15:00,2017-12-19 12:29:59.999000,18715.21,18763.67,18675.99,18700.9,1745061.66272397,93.26513
